
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0390,0.1001,0.3183,0.9365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0890,0.1001,0.3183,0.9365,0.1429,0.0496,0.2154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63969314,-122.12273972,0.89999998,
0.0900,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63969314,-122.12273972,0.89999998,
0.1040,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,0.0000,0.0000,0.0000,0.0000,47.63969314,-122.12273972,0.89999998,
0.1080,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,0.0000,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.1180,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,1009.7327,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.1290,0.1034,0.3437,0.9663,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.1490,0.1034,0.3437,0.9663,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.1590,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.1590,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.1690,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,-0.2878,0.3471,-0.1579,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.1690,0.0479,0.3505,1.0005,1.0037,-0.0310,-0.8214,-0.2878,0.3471,-0.1579,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.1880,0.0479,0.3505,1.0005,1.0037,-0.0310,-0.8214,-0.2878,0.3471,-0.1579,1009.7468,333.3300,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.2080,0.0479,0.3505,1.0005,1.2934,1.0144,-2.6290,-0.2878,0.3471,-0.1579,1009.7468,333.3300,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.2290,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.6290,-0.2878,0.3471,-0.1579,1009.7468,333.3300,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.2290,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.6290,-0.2878,0.3471,-0.1579,1009.7468,332.7145,-17.6170,2.6431,47.63969314,-122.12273972,0.89999998,
0.2330,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.6290,-0.3558,0.4697,0.1001,1009.7468,332.7145,-17.6170,2.6431,47.63969314,-122.12273972,0.89999998,
0.2380,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.6290,-0.3558,0.4697,0.1001,1009.6461,332.7145,-17.6170,2.6431,47.63969314,-122.12273972,0.89999998,
0.2480,-0.0738,0.2627,1.1398,0.9349,0.9769,-2.1943,-0.3558,0.4697,0.1001,1009.6461,332.7145,-17.6170,2.6431,47.63969314,-122.12273972,0.89999998,
0.2680,-0.0738,0.2627,1.1398,0.9349,0.9769,-2.1943,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.9710,2.5683,47.63969314,-122.12273972,0.89999998,
0.2880,-0.0738,0.2627,1.1398,0.7955,1.3949,0.3488,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.9710,2.5683,47.63969314,-122.12273972,0.89999998,
0.2980,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.9710,2.5683,47.63969314,-122.12273972,0.89999998,
0.2990,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.1940,0.1268,1009.6461,332.2683,-16.9710,2.5683,47.63969314,-122.12273972,0.89999998,
0.3080,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.1940,0.1268,1009.6461,331.8186,-16.3846,1.8670,47.63969314,-122.12273972,0.89999998,
0.3180,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.1940,0.1268,1009.7294,331.8186,-16.3846,1.8670,47.63969314,-122.12273972,0.89999998,
0.3280,-0.0536,0.1727,1.0948,1.2043,1.7588,1.1345,-0.2516,0.1940,0.1268,1009.7294,331.8186,-16.3846,1.8670,47.63969314,-122.12273972,0.89999998,
0.3480,-0.0536,0.1727,1.0948,1.2043,1.7588,1.1345,-0.2516,0.1940,0.1268,1009.7294,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.3580,-0.0857,0.0846,0.8730,1.2043,1.7588,1.1345,-0.2516,0.1940,0.1268,1009.7294,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.3580,-0.0857,0.0846,0.8730,1.2043,1.7588,1.1345,-0.2516,0.1940,0.1268,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.3620,-0.0857,0.0846,0.8730,1.2043,1.7588,1.1345,-0.2707,0.3292,0.2344,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.3680,-0.0857,0.0846,0.8730,0.6385,2.3758,-0.5278,-0.2707,0.3292,0.2344,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.3890,-0.0857,0.0846,0.8730,0.6385,2.3758,-0.5278,-0.2707,0.3292,0.2344,1009.5188,330.3737,-15.0595,1.1684,47.63969314,-122.12273972,0.89999998,
0.4080,-0.0857,0.0846,0.8730,-0.3988,2.4489,-0.2706,-0.2707,0.3292,0.2344,1009.5188,330.3737,-15.0595,1.1684,47.63969314,-122.12273972,0.89999998,
0.4280,0.0240,0.0088,1.0093,-0.3988,2.4489,-0.2706,-0.2707,0.3292,0.2344,1009.5188,330.3737,-15.0595,1.1684,47.63969314,-122.12273972,0.89999998,
0.4290,0.0240,0.0088,1.0093,-0.3988,2.4489,-0.2706,-0.4566,-0.3226,0.2295,1009.5188,330.3737,-15.0595,1.1684,47.63969314,-122.12273972,0.89999998,
0.4290,0.0240,0.0088,1.0093,-0.3988,2.4489,-0.2706,-0.4566,-0.3226,0.2295,1009.5188,330.1409,-13.8851,2.2219,47.63969314,-122.12273972,0.89999998,
0.4380,0.0240,0.0088,1.0093,-0.3988,2.4489,-0.2706,-0.4566,-0.3226,0.2295,1009.5762,330.1409,-13.8851,2.2219,47.63969314,-122.12273972,0.89999998,
0.4480,0.0240,0.0088,1.0093,-1.3743,1.6986,0.8104,-0.4566,-0.3226,0.2295,1009.5762,330.1409,-13.8851,2.2219,47.63969314,-122.12273972,0.89999998,
0.4680,0.0240,0.0088,1.0093,-1.3743,1.6986,0.8104,-0.4566,-0.3226,0.2295,1009.5762,330.9463,-12.6093,3.7655,47.63969314,-122.12273972,0.89999998,
0.4880,0.0240,0.0088,1.0093,-1.4662,1.0714,1.4584,-0.4566,-0.3226,0.2295,1009.5762,330.9463,-12.6093,3.7655,47.63969314,-122.12273972,0.89999998,
0.4920,0.0240,0.0088,1.0093,-1.4662,1.0714,1.4584,-0.5670,-0.6343,-0.3179,1009.5762,330.9463,-12.6093,3.7655,47.63969314,-122.12273972,0.89999998,
0.4970,0.1922,0.0641,0.8862,-1.4662,1.0714,1.4584,-0.5670,-0.6343,-0.3179,1009.5762,330.9463,-12.6093,3.7655,47.63969314,-122.12273972,0.89999998,
0.5080,0.1922,0.0641,0.8862,-1.4662,1.0714,1.4584,-0.5670,-0.6343,-0.3179,1009.5762,332.2576,-11.4154,4.7825,47.63969314,-122.12273972,0.89999998,
0.5180,0.1922,0.0641,0.8862,-1.4662,1.0714,1.4584,-0.5670,-0.6343,-0.3179,1009.6265,332.2576,-11.4154,4.7825,47.63969314,-122.12273972,0.89999998,
0.5280,0.1922,0.0641,0.8862,-1.7185,0.5585,0.0735,-0.5670,-0.6343,-0.3179,1009.6265,332.2576,-11.4154,4.7825,47.63969314,-122.12273972,0.89999998,
