
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0880,0.1708,-0.2585,1.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0970,0.1708,-0.2585,1.0345,0.1517,-0.0975,-0.5599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64564990,-122.12144078,0.00000000,
0.1070,0.1708,-0.2585,1.0345,0.1517,-0.0975,-0.5599,-0.0758,0.4668,0.5422,0.0000,0.0000,0.0000,47.64564990,-122.12144078,0.00000000,
0.1080,0.1708,-0.2585,1.0345,0.1517,-0.0975,-0.5599,-0.0758,0.4668,0.5422,287.9756,14.3430,8.1543,47.64564990,-122.12144078,0.00000000,
0.1380,0.1708,-0.2585,1.0345,0.3643,-0.4567,-0.4858,-0.0758,0.4668,0.5422,287.9756,14.3430,8.1543,47.64564990,-122.12144078,0.00000000,
0.1470,0.1708,-0.2585,1.0345,0.3643,-0.4567,-0.4858,-0.0758,0.4668,0.5422,287.4799,14.1456,7.6797,47.64564990,-122.12144078,0.00000000,
0.1570,0.1192,-0.2103,1.0075,0.3643,-0.4567,-0.4858,-0.0758,0.4668,0.5422,287.4799,14.1456,7.6797,47.64564990,-122.12144078,0.00000000,
0.1720,0.1192,-0.2103,1.0075,0.3643,-0.4567,-0.4858,0.1742,0.1553,0.1318,287.4799,14.1456,7.6797,47.64564990,-122.12144078,0.00000000,
0.1770,0.1192,-0.2103,1.0075,0.5804,0.0360,-0.1210,0.1742,0.1553,0.1318,287.4799,14.1456,7.6797,47.64564990,-122.12144078,0.00000000,
0.1870,0.1192,-0.2103,1.0075,0.5804,0.0360,-0.1210,0.1742,0.1553,0.1318,287.6772,13.7015,7.1788,47.64564990,-122.12144078,0.00000000,
0.2170,0.1192,-0.2103,1.0075,0.3458,-0.5309,-0.3760,0.1742,0.1553,0.1318,287.6772,13.7015,7.1788,47.64564990,-122.12144078,0.00000000,
0.2180,0.0667,-0.2181,0.9842,0.3458,-0.5309,-0.3760,0.1742,0.1553,0.1318,287.6772,13.7015,7.1788,47.64564990,-122.12144078,0.00000000,
0.2270,0.0667,-0.2181,0.9842,0.3458,-0.5309,-0.3760,0.1742,0.1553,0.1318,288.3745,13.9374,6.5559,47.64564990,-122.12144078,0.00000000,
0.2370,0.0667,-0.2181,0.9842,0.3458,-0.5309,-0.3760,-0.1232,0.3379,-0.2411,288.3745,13.9374,6.5559,47.64564990,-122.12144078,0.00000000,
0.2570,0.0667,-0.2181,0.9842,-0.0470,0.0322,-0.2824,-0.1232,0.3379,-0.2411,288.3745,13.9374,6.5559,47.64564990,-122.12144078,0.00000000,
0.2670,0.0667,-0.2181,0.9842,-0.0470,0.0322,-0.2824,-0.1232,0.3379,-0.2411,289.3621,14.3038,6.0804,47.64564990,-122.12144078,0.00000000,
0.2870,0.0980,-0.2608,0.9836,-0.0470,0.0322,-0.2824,-0.1232,0.3379,-0.2411,289.3621,14.3038,6.0804,47.64564990,-122.12144078,0.00000000,
0.2970,0.0980,-0.2608,0.9836,0.4415,-0.0402,-0.0151,-0.1232,0.3379,-0.2411,289.3621,14.3038,6.0804,47.64564990,-122.12144078,0.00000000,
0.3010,0.0980,-0.2608,0.9836,0.4415,-0.0402,-0.0151,-0.2442,0.3822,-0.3430,289.3621,14.3038,6.0804,47.64564990,-122.12144078,0.00000000,
0.3060,0.0980,-0.2608,0.9836,0.4415,-0.0402,-0.0151,-0.2442,0.3822,-0.3430,290.3230,14.8180,5.3036,47.64564990,-122.12144078,0.00000000,
0.3370,0.0980,-0.2608,0.9836,0.3052,0.0513,-0.4703,-0.2442,0.3822,-0.3430,290.3230,14.8180,5.3036,47.64564990,-122.12144078,0.00000000,
0.3460,0.0980,-0.2608,0.9836,0.3052,0.0513,-0.4703,-0.2442,0.3822,-0.3430,291.2743,15.0521,5.0436,47.64564990,-122.12144078,0.00000000,
0.3560,0.0569,-0.2582,1.0001,0.3052,0.0513,-0.4703,-0.2442,0.3822,-0.3430,291.2743,15.0521,5.0436,47.64564990,-122.12144078,0.00000000,
0.3660,0.0569,-0.2582,1.0001,0.3052,0.0513,-0.4703,-0.0752,0.1315,-0.3674,291.2743,15.0521,5.0436,47.64564990,-122.12144078,0.00000000,
0.3760,0.0569,-0.2582,1.0001,-0.2588,0.4239,-0.1555,-0.0752,0.1315,-0.3674,291.2743,15.0521,5.0436,47.64564990,-122.12144078,0.00000000,
0.3860,0.0569,-0.2582,1.0001,-0.2588,0.4239,-0.1555,-0.0752,0.1315,-0.3674,291.9862,14.9495,5.1915,47.64564990,-122.12144078,0.00000000,
0.4160,0.0569,-0.2582,1.0001,-0.1277,1.1406,0.0967,-0.0752,0.1315,-0.3674,291.9862,14.9495,5.1915,47.64564990,-122.12144078,0.00000000,
0.4260,0.1094,-0.3237,0.9656,-0.1277,1.1406,0.0967,-0.0752,0.1315,-0.3674,291.9862,14.9495,5.1915,47.64564990,-122.12144078,0.00000000,
0.4270,0.1094,-0.3237,0.9656,-0.1277,1.1406,0.0967,-0.0752,0.1315,-0.3674,292.3627,15.6266,4.0429,47.64564990,-122.12144078,0.00000000,
0.4310,0.1094,-0.3237,0.9656,-0.1277,1.1406,0.0967,-0.2743,0.4975,-0.0505,292.3627,15.6266,4.0429,47.64564990,-122.12144078,0.00000000,
0.4560,0.1094,-0.3237,0.9656,-0.4535,2.2228,1.6175,-0.2743,0.4975,-0.0505,292.3627,15.6266,4.0429,47.64564990,-122.12144078,0.00000000,
