
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0810,-0.6095,-0.6513,0.4347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0900,-0.6095,-0.6513,0.4347,0.1373,-0.1504,-0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64566779,-122.12146129,0.00000000,
0.1010,-0.6095,-0.6513,0.4347,0.1373,-0.1504,-0.0221,0.0000,0.0000,0.0000,247.8631,56.0490,-38.1535,47.64566779,-122.12146129,0.00000000,
0.1050,-0.6095,-0.6513,0.4347,0.1373,-0.1504,-0.0221,0.0288,-0.0485,0.0265,247.8631,56.0490,-38.1535,47.64566779,-122.12146129,0.00000000,
0.1300,-0.6095,-0.6513,0.4347,-0.0993,-0.0609,0.1511,0.0288,-0.0485,0.0265,247.8631,56.0490,-38.1535,47.64566779,-122.12146129,0.00000000,
0.1400,-0.6095,-0.6513,0.4347,-0.0993,-0.0609,0.1511,0.0288,-0.0485,0.0265,247.7409,56.0280,-38.1107,47.64566779,-122.12146129,0.00000000,
0.1500,-0.6150,-0.6463,0.4366,-0.0993,-0.0609,0.1511,0.0288,-0.0485,0.0265,247.7409,56.0280,-38.1107,47.64566779,-122.12146129,0.00000000,
0.1700,-0.6150,-0.6463,0.4366,-0.0993,-0.0609,0.1511,-0.0009,-0.0317,0.0180,247.7409,56.0280,-38.1107,47.64566779,-122.12146129,0.00000000,
0.1700,-0.6150,-0.6463,0.4366,-0.1676,-0.1357,0.0595,-0.0009,-0.0317,0.0180,247.7409,56.0280,-38.1107,47.64566779,-122.12146129,0.00000000,
0.1800,-0.6150,-0.6463,0.4366,-0.1676,-0.1357,0.0595,-0.0009,-0.0317,0.0180,247.6922,55.9211,-38.1328,47.64566779,-122.12146129,0.00000000,
0.2100,-0.6150,-0.6463,0.4366,0.0488,-0.0036,-0.1401,-0.0009,-0.0317,0.0180,247.6922,55.9211,-38.1328,47.64566779,-122.12146129,0.00000000,
0.2200,-0.6140,-0.6401,0.4442,0.0488,-0.0036,-0.1401,-0.0009,-0.0317,0.0180,247.6922,55.9211,-38.1328,47.64566779,-122.12146129,0.00000000,
0.2200,-0.6140,-0.6401,0.4442,0.0488,-0.0036,-0.1401,-0.0009,-0.0317,0.0180,247.6405,55.8358,-38.0947,47.64566779,-122.12146129,0.00000000,
0.2350,-0.6140,-0.6401,0.4442,0.0488,-0.0036,-0.1401,0.0149,-0.0505,0.0128,247.6405,55.8358,-38.0947,47.64566779,-122.12146129,0.00000000,
0.2490,-0.6140,-0.6401,0.4442,-0.0230,-0.1100,0.0230,0.0149,-0.0505,0.0128,247.6405,55.8358,-38.0947,47.64566779,-122.12146129,0.00000000,
0.2610,-0.6140,-0.6401,0.4442,-0.0230,-0.1100,0.0230,0.0149,-0.0505,0.0128,247.3588,55.5431,-38.0244,47.64566779,-122.12146129,0.00000000,
0.2800,-0.6067,-0.6435,0.4379,-0.0230,-0.1100,0.0230,0.0149,-0.0505,0.0128,247.3588,55.5431,-38.0244,47.64566779,-122.12146129,0.00000000,
0.2890,-0.6067,-0.6435,0.4379,-0.1383,-0.1844,-0.0024,0.0149,-0.0505,0.0128,247.3588,55.5431,-38.0244,47.64566779,-122.12146129,0.00000000,
0.3000,-0.6067,-0.6435,0.4379,-0.1383,-0.1844,-0.0024,0.0493,-0.1381,0.0584,247.3588,55.5431,-38.0244,47.64566779,-122.12146129,0.00000000,
0.3000,-0.6067,-0.6435,0.4379,-0.1383,-0.1844,-0.0024,0.0493,-0.1381,0.0584,247.0087,55.1684,-37.9606,47.64566779,-122.12146129,0.00000000,
0.3290,-0.6067,-0.6435,0.4379,-0.1789,-0.0319,0.0760,0.0493,-0.1381,0.0584,247.0087,55.1684,-37.9606,47.64566779,-122.12146129,0.00000000,
