
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0810,-0.0143,0.0766,0.9740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1010,-0.0143,0.0766,0.9740,-0.0832,0.0527,-0.1033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64562560,-122.12143517,0.00000000,
0.1020,-0.0143,0.0766,0.9740,-0.0832,0.0527,-0.1033,0.0000,0.0000,0.0000,262.4003,-4.4146,-0.8985,47.64562560,-122.12143517,0.00000000,
0.1050,-0.0143,0.0766,0.9740,-0.0832,0.0527,-0.1033,-0.0386,-0.0713,0.0330,262.4003,-4.4146,-0.8985,47.64562560,-122.12143517,0.00000000,
0.1410,-0.0111,0.0726,1.0087,-0.0832,0.0527,-0.1033,-0.0386,-0.0713,0.0330,262.4003,-4.4146,-0.8985,47.64562560,-122.12143517,0.00000000,
0.1420,-0.0111,0.0726,1.0087,-0.0822,0.0148,-0.0078,-0.0386,-0.0713,0.0330,262.4003,-4.4146,-0.8985,47.64562560,-122.12143517,0.00000000,
0.1420,-0.0111,0.0726,1.0087,-0.0822,0.0148,-0.0078,-0.0386,-0.0713,0.0330,262.3553,-4.3607,-0.8363,47.64562560,-122.12143517,0.00000000,
0.1720,-0.0111,0.0726,1.0087,-0.0822,0.0148,-0.0078,-0.0109,0.0158,0.0040,262.3553,-4.3607,-0.8363,47.64562560,-122.12143517,0.00000000,
0.1810,-0.0111,0.0726,1.0087,0.0691,-0.0098,0.0816,-0.0109,0.0158,0.0040,262.3553,-4.3607,-0.8363,47.64562560,-122.12143517,0.00000000,
0.1810,-0.0111,0.0726,1.0087,0.0691,-0.0098,0.0816,-0.0109,0.0158,0.0040,262.3734,-4.3852,-0.9282,47.64562560,-122.12143517,0.00000000,
0.2110,-0.0209,0.0731,0.9855,0.0691,-0.0098,0.0816,-0.0109,0.0158,0.0040,262.3734,-4.3852,-0.9282,47.64562560,-122.12143517,0.00000000,
0.2210,-0.0209,0.0731,0.9855,0.0624,0.0711,0.2425,-0.0109,0.0158,0.0040,262.3734,-4.3852,-0.9282,47.64562560,-122.12143517,0.00000000,
0.2210,-0.0209,0.0731,0.9855,0.0624,0.0711,0.2425,-0.0109,0.0158,0.0040,262.3977,-4.3821,-0.9948,47.64562560,-122.12143517,0.00000000,
0.2360,-0.0209,0.0731,0.9855,0.0624,0.0711,0.2425,-0.0084,0.0215,-0.0078,262.3977,-4.3821,-0.9948,47.64562560,-122.12143517,0.00000000,
0.2610,-0.0209,0.0731,0.9855,-0.0749,0.2160,0.1629,-0.0084,0.0215,-0.0078,262.3977,-4.3821,-0.9948,47.64562560,-122.12143517,0.00000000,
0.2610,-0.0209,0.0731,0.9855,-0.0749,0.2160,0.1629,-0.0084,0.0215,-0.0078,262.3813,-4.3045,-1.0159,47.64562560,-122.12143517,0.00000000,
0.2810,-0.0166,0.0616,0.9924,-0.0749,0.2160,0.1629,-0.0084,0.0215,-0.0078,262.3813,-4.3045,-1.0159,47.64562560,-122.12143517,0.00000000,
0.3000,-0.0166,0.0616,0.9924,-0.0749,0.2160,0.1629,-0.0167,0.0356,0.0076,262.3813,-4.3045,-1.0159,47.64562560,-122.12143517,0.00000000,
0.3010,-0.0166,0.0616,0.9924,0.1705,0.0013,0.2102,-0.0167,0.0356,0.0076,262.3813,-4.3045,-1.0159,47.64562560,-122.12143517,0.00000000,
0.3010,-0.0166,0.0616,0.9924,0.1705,0.0013,0.2102,-0.0167,0.0356,0.0076,262.3518,-4.2817,-1.1152,47.64562560,-122.12143517,0.00000000,
0.3400,-0.0166,0.0616,0.9924,-0.0230,0.0437,0.0587,-0.0167,0.0356,0.0076,262.3518,-4.2817,-1.1152,47.64562560,-122.12143517,0.00000000,
0.3410,-0.0166,0.0616,0.9924,-0.0230,0.0437,0.0587,-0.0167,0.0356,0.0076,262.3964,-4.2495,-1.2137,47.64562560,-122.12143517,0.00000000,
0.3500,-0.0243,0.0698,0.9833,-0.0230,0.0437,0.0587,-0.0167,0.0356,0.0076,262.3964,-4.2495,-1.2137,47.64562560,-122.12143517,0.00000000,
0.3650,-0.0243,0.0698,0.9833,-0.0230,0.0437,0.0587,-0.0112,0.0531,-0.0104,262.3964,-4.2495,-1.2137,47.64562560,-122.12143517,0.00000000,
0.3810,-0.0243,0.0698,0.9833,0.0561,0.0470,-0.1590,-0.0112,0.0531,-0.0104,262.3964,-4.2495,-1.2137,47.64562560,-122.12143517,0.00000000,
0.3810,-0.0243,0.0698,0.9833,0.0561,0.0470,-0.1590,-0.0112,0.0531,-0.0104,262.3532,-4.1847,-1.3922,47.64562560,-122.12143517,0.00000000,
0.4100,-0.0232,0.0676,1.0180,0.0561,0.0470,-0.1590,-0.0112,0.0531,-0.0104,262.3532,-4.1847,-1.3922,47.64562560,-122.12143517,0.00000000,
0.4200,-0.0232,0.0676,1.0180,-0.0017,0.0804,-0.1184,-0.0112,0.0531,-0.0104,262.3532,-4.1847,-1.3922,47.64562560,-122.12143517,0.00000000,
0.4200,-0.0232,0.0676,1.0180,-0.0017,0.0804,-0.1184,-0.0112,0.0531,-0.0104,262.3649,-3.9320,-1.4785,47.64562560,-122.12143517,0.00000000,
0.4300,-0.0232,0.0676,1.0180,-0.0017,0.0804,-0.1184,-0.0896,0.0437,-0.0045,262.3649,-3.9320,-1.4785,47.64562560,-122.12143517,0.00000000,
0.4600,-0.0232,0.0676,1.0180,-0.0125,0.0976,-0.0522,-0.0896,0.0437,-0.0045,262.3649,-3.9320,-1.4785,47.64562560,-122.12143517,0.00000000,
0.4600,-0.0232,0.0676,1.0180,-0.0125,0.0976,-0.0522,-0.0896,0.0437,-0.0045,262.3919,-3.9207,-1.5139,47.64562564,-122.12143496,0.00000000,
0.4800,-0.0250,0.0580,1.0083,-0.0125,0.0976,-0.0522,-0.0896,0.0437,-0.0045,262.3919,-3.9207,-1.5139,47.64562564,-122.12143496,0.00000000,
0.4950,-0.0250,0.0580,1.0083,-0.0125,0.0976,-0.0522,0.0372,-0.0057,-0.0107,262.3919,-3.9207,-1.5139,47.64562564,-122.12143496,0.00000000,
0.4990,-0.0250,0.0580,1.0083,-0.0394,-0.1130,0.4202,0.0372,-0.0057,-0.0107,262.3919,-3.9207,-1.5139,47.64562564,-122.12143496,0.00000000,
