
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0860,-0.0012,0.0680,1.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0950,-0.0012,0.0680,1.0067,-0.0614,-0.0038,0.5073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64565173,-122.12143044,0.00000000,
0.1060,-0.0012,0.0680,1.0067,-0.0614,-0.0038,0.5073,0.0252,0.0137,0.0426,0.0000,0.0000,0.0000,47.64565173,-122.12143044,0.00000000,
0.1070,-0.0012,0.0680,1.0067,-0.0614,-0.0038,0.5073,0.0252,0.0137,0.0426,260.4077,-4.0603,0.0338,47.64565173,-122.12143044,0.00000000,
0.1360,-0.0012,0.0680,1.0067,-0.0504,-0.0310,0.0397,0.0252,0.0137,0.0426,260.4077,-4.0603,0.0338,47.64565173,-122.12143044,0.00000000,
0.1460,-0.0012,0.0680,1.0067,-0.0504,-0.0310,0.0397,0.0252,0.0137,0.0426,260.3593,-3.8833,-0.0235,47.64565173,-122.12143044,0.00000000,
0.1560,0.0009,0.0706,0.9647,-0.0504,-0.0310,0.0397,0.0252,0.0137,0.0426,260.3593,-3.8833,-0.0235,47.64565173,-122.12143044,0.00000000,
0.1700,0.0009,0.0706,0.9647,-0.0504,-0.0310,0.0397,-0.0855,0.0409,0.0088,260.3593,-3.8833,-0.0235,47.64565173,-122.12143044,0.00000000,
0.1750,0.0009,0.0706,0.9647,0.0039,0.1919,-0.1759,-0.0855,0.0409,0.0088,260.3593,-3.8833,-0.0235,47.64565173,-122.12143044,0.00000000,
0.1860,0.0009,0.0706,0.9647,0.0039,0.1919,-0.1759,-0.0855,0.0409,0.0088,260.3380,-3.7248,-0.2096,47.64565173,-122.12143044,0.00000000,
0.2160,0.0009,0.0706,0.9647,0.0629,0.0917,-0.3414,-0.0855,0.0409,0.0088,260.3380,-3.7248,-0.2096,47.64565173,-122.12143044,0.00000000,
0.2170,-0.0109,0.0465,1.0176,0.0629,0.0917,-0.3414,-0.0855,0.0409,0.0088,260.3380,-3.7248,-0.2096,47.64565173,-122.12143044,0.00000000,
0.2260,-0.0109,0.0465,1.0176,0.0629,0.0917,-0.3414,-0.0855,0.0409,0.0088,260.2766,-3.6820,-0.5330,47.64565173,-122.12143044,0.00000000,
0.2350,-0.0109,0.0465,1.0176,0.0629,0.0917,-0.3414,-0.0163,0.1514,0.0123,260.2766,-3.6820,-0.5330,47.64565173,-122.12143044,0.00000000,
0.2550,-0.0109,0.0465,1.0176,-0.0948,0.0267,0.0982,-0.0163,0.1514,0.0123,260.2766,-3.6820,-0.5330,47.64565173,-122.12143044,0.00000000,
0.2650,-0.0109,0.0465,1.0176,-0.0948,0.0267,0.0982,-0.0163,0.1514,0.0123,260.2461,-3.6736,-0.9485,47.64565173,-122.12143044,0.00000000,
