
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.2510,0.0312,0.1437,0.9706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.3000,0.0312,0.1437,0.9706,0.0000,0.0000,0.0000,-0.0340,0.0224,0.0183,0.0000,0.0000,0.0000,47.63101176,-122.13298876,0.00000000,
0.3110,0.0060,0.1190,0.9553,0.0000,0.0000,0.0000,-0.0340,0.0224,0.0183,0.0000,0.0000,0.0000,47.63101176,-122.13298876,0.00000000,
0.3660,0.0060,0.1190,0.9553,0.0000,0.0000,0.0000,-0.1630,-0.0189,0.0037,0.0000,0.0000,0.0000,47.63101176,-122.13298876,0.00000000,
0.3710,0.0360,0.0927,0.9815,0.0000,0.0000,0.0000,-0.1630,-0.0189,0.0037,0.0000,0.0000,0.0000,47.63101176,-122.13298876,0.00000000,
0.3710,0.0360,0.0927,0.9815,-0.3156,0.3054,0.0672,-0.1630,-0.0189,0.0037,0.0000,0.0000,0.0000,47.63101176,-122.13298876,0.00000000,
0.3720,0.0360,0.0927,0.9815,-0.3156,0.3054,0.0672,-0.1630,-0.0189,0.0037,246.7403,-6.7499,0.9531,47.63101176,-122.13298876,0.00000000,
0.4110,0.0360,0.0927,0.9815,-0.2051,0.2362,0.0548,-0.1630,-0.0189,0.0037,246.7403,-6.7499,0.9531,47.63101176,-122.13298876,0.00000000,
0.4120,0.0360,0.0927,0.9815,-0.2051,0.2362,0.0548,-0.1630,-0.0189,0.0037,246.7988,-6.4276,0.8460,47.63101176,-122.13298876,0.00000000,
0.4310,0.0360,0.0927,0.9815,-0.2051,0.2362,0.0548,-0.1314,0.0517,-0.0203,246.7988,-6.4276,0.8460,47.63101176,-122.13298876,0.00000000,
0.4500,0.0387,0.0896,0.9954,-0.2051,0.2362,0.0548,-0.1314,0.0517,-0.0203,246.7988,-6.4276,0.8460,47.63101176,-122.13298876,0.00000000,
0.4510,0.0387,0.0896,0.9954,-0.2893,0.1255,-0.2057,-0.1314,0.0517,-0.0203,246.7988,-6.4276,0.8460,47.63101176,-122.13298876,0.00000000,
0.4520,0.0387,0.0896,0.9954,-0.2893,0.1255,-0.2057,-0.1314,0.0517,-0.0203,246.7998,-6.1987,0.6890,47.63101176,-122.13298876,0.00000000,
0.4900,0.0387,0.0896,0.9954,-0.2217,0.2794,-0.1883,-0.1314,0.0517,-0.0203,246.7998,-6.1987,0.6890,47.63101176,-122.13298876,0.00000000,
0.4920,0.0387,0.0896,0.9954,-0.2217,0.2794,-0.1883,-0.1314,0.0517,-0.0203,246.7647,-6.0338,0.6102,47.63101176,-122.13298876,0.00000000,
0.4940,0.0387,0.0896,0.9954,-0.2217,0.2794,-0.1883,-0.0723,0.0393,0.0066,246.7647,-6.0338,0.6102,47.63101176,-122.13298876,0.00000000,
0.5100,0.0340,0.0842,1.0131,-0.2217,0.2794,-0.1883,-0.0723,0.0393,0.0066,246.7647,-6.0338,0.6102,47.63101176,-122.13298876,0.00000000,
0.5300,0.0340,0.0842,1.0131,-0.0747,0.2141,-0.0482,-0.0723,0.0393,0.0066,246.7647,-6.0338,0.6102,47.63101176,-122.13298876,0.00000000,
0.5310,0.0340,0.0842,1.0131,-0.0747,0.2141,-0.0482,-0.0723,0.0393,0.0066,246.7575,-5.8753,0.5772,47.63101176,-122.13298876,0.00000000,
0.5590,0.0340,0.0842,1.0131,-0.0747,0.2141,-0.0482,-0.0442,0.0413,0.0055,246.7575,-5.8753,0.5772,47.63101176,-122.13298876,0.00000000,
