
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.2680,-0.0676,0.1944,0.9558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.2690,-0.0700,0.1983,0.9713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.2690,-0.0647,0.1954,0.9949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.2690,-0.0612,0.1851,1.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.2930,-0.0676,0.1842,0.9853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.2940,-0.0690,0.1881,0.9688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3000,-0.0715,0.1969,0.9650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3090,-0.0681,0.1944,0.9669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3200,-0.0612,0.1827,0.9597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3230,-0.0612,0.1827,0.9597,-0.0552,0.0870,0.2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3290,-0.0685,0.1817,0.9539,-0.0552,0.0870,0.2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3340,-0.0685,0.1817,0.9539,-0.0552,0.0870,0.2017,-0.0452,0.0343,0.0265,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3400,-0.0681,0.1895,0.9606,-0.0552,0.0870,0.2017,-0.0452,0.0343,0.0265,0.0000,0.0000,0.0000,47.63085111,-122.13396921,0.31999999,
0.3400,-0.0681,0.1895,0.9606,-0.0552,0.0870,0.2017,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3490,-0.0676,0.1910,0.9751,-0.0552,0.0870,0.2017,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3650,-0.0749,0.1837,0.9969,-0.0552,0.0870,0.2017,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3660,-0.0749,0.1837,0.9969,0.0684,0.0405,-0.1565,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3700,-0.0715,0.1773,1.0051,0.0684,0.0405,-0.1565,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3810,-0.0666,0.1710,1.0123,0.0684,0.0405,-0.1565,-0.0452,0.0343,0.0265,23.5052,-10.9665,-3.8788,47.63085111,-122.13396921,0.31999999,
0.3830,-0.0666,0.1710,1.0123,0.0684,0.0405,-0.1565,-0.0452,0.0343,0.0265,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.3970,-0.0651,0.1744,1.0094,0.0684,0.0405,-0.1565,-0.0452,0.0343,0.0265,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4000,-0.0651,0.1744,1.0094,0.0684,0.0405,-0.1565,-0.1084,0.0367,0.0468,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4010,-0.0685,0.1798,0.9920,0.0684,0.0405,-0.1565,-0.1084,0.0367,0.0468,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4010,-0.0685,0.1798,0.9920,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4510,-0.0724,0.1837,0.9795,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4530,-0.0729,0.1881,0.9819,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.3772,-10.6826,-3.8934,47.63085111,-122.13396921,0.31999999,
0.4570,-0.0729,0.1881,0.9819,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4580,-0.0759,0.1793,0.9824,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4590,-0.0759,0.1768,0.9717,-0.0040,0.0391,-0.1023,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4590,-0.0759,0.1768,0.9717,0.0472,0.0735,0.0941,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4600,-0.0768,0.1881,0.9645,0.0472,0.0735,0.0941,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4610,-0.0836,0.1954,0.9606,0.0472,0.0735,0.0941,-0.1084,0.0367,0.0468,23.2511,-10.5804,-4.0328,47.63085111,-122.13396921,0.31999999,
0.4610,-0.0836,0.1954,0.9606,0.0472,0.0735,0.0941,-0.1084,0.0367,0.0468,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4870,-0.0836,0.1954,0.9606,0.0472,0.0735,0.0941,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4880,-0.0890,0.1920,0.9601,0.0472,0.0735,0.0941,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4880,-0.0905,0.1935,0.9766,0.0472,0.0735,0.0941,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4890,-0.0905,0.1935,0.9766,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4900,-0.0914,0.1974,0.9911,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4980,-0.0798,0.1905,0.9872,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,23.0719,-10.6670,-4.1607,47.63085111,-122.13396921,0.31999999,
0.4990,-0.0798,0.1905,0.9872,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,22.8374,-10.7748,-4.2196,47.63085111,-122.13396921,0.31999999,
0.5100,-0.0695,0.1851,0.9766,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,22.8374,-10.7748,-4.2196,47.63085111,-122.13396921,0.31999999,
0.5270,-0.0676,0.1856,0.9795,0.1629,-0.0742,0.0418,0.0244,0.0753,0.0668,22.8374,-10.7748,-4.2196,47.63085111,-122.13396921,0.31999999,
