
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0500,-0.0675,0.0730,1.0401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0960,-0.0875,0.0751,0.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64038395,-122.12284397,0.00000000,
0.0960,-0.0875,0.0751,0.9733,-0.1411,0.0227,0.3183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.64038395,-122.12284397,0.00000000,
0.1100,-0.0875,0.0751,0.9733,-0.1411,0.0227,0.3183,0.1421,-0.1515,-0.0026,0.0000,0.0000,0.0000,0.0000,47.64038395,-122.12284397,0.00000000,
0.1150,-0.0875,0.0751,0.9733,-0.1411,0.0227,0.3183,0.1421,-0.1515,-0.0026,0.0000,188.5610,-4.3646,-4.9138,47.64038395,-122.12284397,0.00000000,
0.1290,-0.0875,0.0751,0.9733,-0.1411,0.0227,0.3183,0.1421,-0.1515,-0.0026,1010.2000,188.5610,-4.3646,-4.9138,47.64038395,-122.12284397,0.00000000,
0.1350,-0.0875,0.0751,0.9733,-0.2196,0.0591,0.0939,0.1421,-0.1515,-0.0026,1010.2000,188.5610,-4.3646,-4.9138,47.64038395,-122.12284397,0.00000000,
0.1560,-0.0875,0.0751,0.9733,-0.2196,0.0591,0.0939,0.1421,-0.1515,-0.0026,1010.2000,188.5222,-4.4982,-4.6263,47.64038395,-122.12284397,0.00000000,
0.1650,-0.0621,0.0700,0.9858,-0.2196,0.0591,0.0939,0.1421,-0.1515,-0.0026,1010.2000,188.5222,-4.4982,-4.6263,47.64038395,-122.12284397,0.00000000,
0.1750,-0.0621,0.0700,0.9858,-0.2196,0.0591,0.0939,0.0663,-0.0934,0.0382,1010.2000,188.5222,-4.4982,-4.6263,47.64038395,-122.12284397,0.00000000,
0.1750,-0.0621,0.0700,0.9858,-0.2449,-0.0105,-0.2182,0.0663,-0.0934,0.0382,1010.2000,188.5222,-4.4982,-4.6263,47.64038395,-122.12284397,0.00000000,
0.1950,-0.0621,0.0700,0.9858,-0.2449,-0.0105,-0.2182,0.0663,-0.0934,0.0382,1010.2000,188.4067,-4.7267,-4.6143,47.64038395,-122.12284397,0.00000000,
0.2080,-0.0621,0.0700,0.9858,-0.2449,-0.0105,-0.2182,0.0663,-0.0934,0.0382,1010.1613,188.4067,-4.7267,-4.6143,47.64038395,-122.12284397,0.00000000,
0.2150,-0.0621,0.0700,0.9858,-0.0266,-0.0943,0.2029,0.0663,-0.0934,0.0382,1010.1613,188.4067,-4.7267,-4.6143,47.64038395,-122.12284397,0.00000000,
0.2350,-0.0638,0.0848,0.9859,-0.0266,-0.0943,0.2029,0.0663,-0.0934,0.0382,1010.1613,188.4067,-4.7267,-4.6143,47.64038395,-122.12284397,0.00000000,
0.2360,-0.0638,0.0848,0.9859,-0.0266,-0.0943,0.2029,0.0663,-0.0934,0.0382,1010.1613,188.3236,-4.9493,-4.6298,47.64038395,-122.12284397,0.00000000,
0.2390,-0.0638,0.0848,0.9859,-0.0266,-0.0943,0.2029,0.0997,0.0194,0.0336,1010.1613,188.3236,-4.9493,-4.6298,47.64038395,-122.12284397,0.00000000,
0.2490,-0.0638,0.0848,0.9859,-0.0266,-0.0943,0.2029,0.0997,0.0194,0.0336,1010.0988,188.3236,-4.9493,-4.6298,47.64038395,-122.12284397,0.00000000,
0.2550,-0.0638,0.0848,0.9859,-0.0916,-0.0714,-0.0983,0.0997,0.0194,0.0336,1010.0988,188.3236,-4.9493,-4.6298,47.64038395,-122.12284397,0.00000000,
